"SYMBOL","Model"
"Maz","MAZ_MOUSE.H11MO.0.A"
"Maz","MAZ_MOUSE.H11MO.1.A"
"Mbd2","MBD2_MOUSE.H11MO.0.B"
"Mecp2","MECP2_MOUSE.H11MO.0.C"
"Mef2a","MEF2A_MOUSE.H11MO.0.A"
"Mef2c","MEF2C_MOUSE.H11MO.0.A"
"Mef2d","MEF2D_MOUSE.H11MO.0.A"
"Meis1","MEIS1_MOUSE.H11MO.0.A"
"Meis1","MEIS1_MOUSE.H11MO.1.A"
"Foxc1","FOXC1_MOUSE.H11MO.0.C"
"Bhlha15","BHA15_MOUSE.H11MO.0.A"
"Mitf","MITF_MOUSE.H11MO.0.A"
"Foxk1","FOXK1_MOUSE.H11MO.0.A"
"Meis2","MEIS2_MOUSE.H11MO.0.B"
"Msx2","MSX2_MOUSE.H11MO.0.D"
"Msx3","MSX3_MOUSE.H11MO.0.D"
"Mtf1","MTF1_MOUSE.H11MO.0.C"
"Mxi1","MXI1_MOUSE.H11MO.0.A"
"Mxi1","MXI1_MOUSE.H11MO.1.A"
"Myb","MYB_MOUSE.H11MO.0.A"
"Mybl1","MYBA_MOUSE.H11MO.0.C"
"Mybl2","MYBB_MOUSE.H11MO.0.D"
"Myc","MYC_MOUSE.H11MO.0.A"
"Myf5","MYF5_MOUSE.H11MO.0.D"
"Myf6","MYF6_MOUSE.H11MO.0.C"
"Myod1","MYOD1_MOUSE.H11MO.0.A"
"Myod1","MYOD1_MOUSE.H11MO.1.A"
"Myog","MYOG_MOUSE.H11MO.0.A"
"Neurod1","NDF1_MOUSE.H11MO.0.A"
"Neurod2","NDF2_MOUSE.H11MO.0.A"
"Nfatc1","NFAC1_MOUSE.H11MO.0.A"
"Nfatc1","NFAC1_MOUSE.H11MO.1.A"
"Nfatc2","NFAC2_MOUSE.H11MO.0.C"
"Nfatc2","NFAC2_MOUSE.H11MO.1.C"
"Nfatc3","NFAC3_MOUSE.H11MO.0.B"
"Nfe2","NFE2_MOUSE.H11MO.0.A"
"Nfe2l1","NF2L1_MOUSE.H11MO.0.C"
"Nfe2l2","NF2L2_MOUSE.H11MO.0.A"
"Nfia","NFIA_MOUSE.H11MO.0.C"
"Nfia","NFIA_MOUSE.H11MO.1.D"
"Nfib","NFIB_MOUSE.H11MO.0.C"
"Nfic","NFIC_MOUSE.H11MO.0.A"
"Nfic","NFIC_MOUSE.H11MO.1.A"
"Nfil3","NFIL3_MOUSE.H11MO.0.C"
"Nfkb1","NFKB1_MOUSE.H11MO.0.A"
"Nfkb2","NFKB2_MOUSE.H11MO.0.C"
"Nfya","NFYA_MOUSE.H11MO.0.A"
"Nfya","NFYA_MOUSE.H11MO.0.A"
"Nfyb","NFYB_MOUSE.H11MO.0.A"
"Nfyc","NFYC_MOUSE.H11MO.0.B"
"Nhlh1","HEN1_MOUSE.H11MO.0.C"
"Nkx2-2","NKX22_MOUSE.H11MO.0.A"
"Nkx2-5","NKX25_MOUSE.H11MO.0.A"
"Nkx2-9","NKX28_MOUSE.H11MO.0.C"
"Nkx3-1","NKX31_MOUSE.H11MO.0.C"
"Nkx6-1","NKX61_MOUSE.H11MO.0.A"
"Nkx6-1","NKX61_MOUSE.H11MO.1.A"
"Mycn","MYCN_MOUSE.H11MO.0.A"
"Nr4a3","NR4A3_MOUSE.H11MO.0.D"
"Nr1i2","NR1I2_MOUSE.H11MO.0.C"
"Nr1i2","NR1I2_MOUSE.H11MO.1.D"
"Nrf1","NRF1_MOUSE.H11MO.0.A"
"Nr4a2","NR4A2_MOUSE.H11MO.0.C"
"Nobox","NOBOX_MOUSE.H11MO.0.C"
"Otx1","OTX1_MOUSE.H11MO.0.D"
"Otx2","OTX2_MOUSE.H11MO.0.A"
"Ovol1","OVOL1_MOUSE.H11MO.0.C"
"Pax2","PAX2_MOUSE.H11MO.0.D"
"Pax3","PAX3_MOUSE.H11MO.0.D"
"Pax5","PAX5_MOUSE.H11MO.0.A"
"Pax6","PAX6_MOUSE.H11MO.0.C"
"Pax8","PAX8_MOUSE.H11MO.0.D"
"Pbx1","PBX1_MOUSE.H11MO.0.A"
"Pbx1","PBX1_MOUSE.H11MO.1.A"
"Pbx1","PBX1_MOUSE.H11MO.2.C"
"Pbx2","PBX2_MOUSE.H11MO.0.C"
"Pbx3","PBX3_MOUSE.H11MO.0.A"
"Pdx1","PDX1_MOUSE.H11MO.0.B"
"Etv4","ETV4_MOUSE.H11MO.0.B"
"Pgr","PRGR_MOUSE.H11MO.0.A"
"Pgr","PRGR_MOUSE.H11MO.1.A"
"Pou1f1","PIT1_MOUSE.H11MO.0.C"
"Pitx1","PITX1_MOUSE.H11MO.0.C"
"Pitx2","PITX2_MOUSE.H11MO.0.D"
"Pknox1","PKNX1_MOUSE.H11MO.0.A"
"Prrx1","PRRX1_MOUSE.H11MO.0.D"
"Pou2f1","PO2F1_MOUSE.H11MO.0.C"
"Pou2f2","PO2F2_MOUSE.H11MO.0.B"
"Pou3f1","PO3F1_MOUSE.H11MO.0.C"
"Pou3f2","PO3F2_MOUSE.H11MO.0.A"
"Pou3f2","PO3F2_MOUSE.H11MO.1.A"
"Pou4f2","PO4F2_MOUSE.H11MO.0.D"
"Pou5f1","PO5F1_MOUSE.H11MO.0.A"
"Pou5f1","PO5F1_MOUSE.H11MO.1.A"
"Pou6f1","PO6F1_MOUSE.H11MO.0.D"
"Ppara","PPARA_MOUSE.H11MO.0.A"
"Ppara","PPARA_MOUSE.H11MO.1.A"
"Ppard","PPARD_MOUSE.H11MO.0.D"
"Pparg","PPARG_MOUSE.H11MO.0.A"
"Pparg","PPARG_MOUSE.H11MO.1.A"
"Prop1","PROP1_MOUSE.H11MO.0.C"
"Ptf1a","PTF1A_MOUSE.H11MO.0.A"
"Ptf1a","PTF1A_MOUSE.H11MO.1.A"
"Pura","PURA_MOUSE.H11MO.0.D"
"Rara","RARA_MOUSE.H11MO.0.A"
"Rara","RARA_MOUSE.H11MO.1.A"
"Rara","RARA_MOUSE.H11MO.2.A"
"Rara","RARA_MOUSE.H11MO.3.A"
"Rarg","RARG_MOUSE.H11MO.0.C"
"Rarg","RARG_MOUSE.H11MO.1.C"
"Rbpj","SUH_MOUSE.H11MO.0.A"
"Rel","REL_MOUSE.H11MO.0.A"
"Rela","TF65_MOUSE.H11MO.0.A"
"Relb","RELB_MOUSE.H11MO.0.C"
"Rest","REST_MOUSE.H11MO.0.A"
"Rfx1","RFX1_MOUSE.H11MO.0.A"
"Rfx1","RFX1_MOUSE.H11MO.1.A"
"Rfx2","RFX2_MOUSE.H11MO.0.A"
"Rfx2","RFX2_MOUSE.H11MO.1.A"
"Rfx3","RFX3_MOUSE.H11MO.0.C"
"Rfx3","RFX3_MOUSE.H11MO.1.C"
"Rora","RORA_MOUSE.H11MO.0.C"
"Rorc","RORG_MOUSE.H11MO.0.B"
"Rxra","RXRA_MOUSE.H11MO.0.A"
"Rxra","RXRA_MOUSE.H11MO.1.A"
"Rxra","RXRA_MOUSE.H11MO.2.A"
"Rxrb","RXRB_MOUSE.H11MO.0.C"
"Rxrg","RXRG_MOUSE.H11MO.0.B"
